Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Transit > Train Stations > Train,Moove Media SG,ds6067,21208963,DTL_Promenade _ Concourse_1 (DTL-PMN-C1),1.294238,103.860904,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6067,Marina Centre,Central Region,15,All / Universal,1,1,38983,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6123,21208964,DTL_Promenade _ Concourse_2 (DTL-PMN-C2),1.294238,103.860904,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6123,Marina Centre,Central Region,15,All / Universal,1,1,38983,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6089,21208965,DTL_Rochor _ Concourse_1 (DTL-RCR-C1),1.303629,103.852251,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6089,Bencoolen,Central Region,15,All / Universal,1,1,188505,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6091,21208966,DTL_Sixth Avenue _ Concourse_1 (DTL-SAV-C1),1.33092,103.798066,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6091,Hillcrest,Central Region,15,All / Universal,1,1,287771,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6090,21208967,DTL_Stevens _ Platform_1 (DTL-STV-P1),1.320119,103.826662,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6090,Nassim,Central Region,15,All / Universal,1,1,259735,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6100,21208968,DTL_Stevens _ Platform_2 (DTL-STV-P2),1.320119,103.826662,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6100,Nassim,Central Region,15,All / Universal,1,1,259735,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6097,21208973,DTL_Tan Kah Kee _ Platform_1 (DTL-TKK-P1),1.325732,103.807919,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6097,Coronation Road,Central Region,15,All / Universal,1,1,266268,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6093,21208974,DTL_Ubi _ Concourse_1 (DTL-UBI-C1),1.33009,103.899289,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6093,Kampong Ubi,Central Region,15,All / Universal,1,1,408899,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6044,21208977,NEL_Boon Keng _ Platform_1 (NEL-BNK-P1),1.320028,103.861719,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6044,Bendemeer,Central Region,15,All / Universal,1,1,328260,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6047,21208978,NEL_Boon Keng _ Platform_2 (NEL-BNK-P2),1.320028,103.861719,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6047,Bendemeer,Central Region,15,All / Universal,1,1,328260,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6027,21208981,NEL_Chinatown _ Concourse_1 (NEL-CNT-C1),1.284806,103.84401,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6027,Chinatown,Central Region,15,All / Universal,1,1,59418,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6056,21208982,NEL_Chinatown _ Platform_1 (NEL-CNT-P1),1.284806,103.84401,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6056,Chinatown,Central Region,15,All / Universal,1,1,59418,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6072,21208983,NEL_Chinatown _ Platform_2 (NEL-CNT-P2),1.284806,103.84401,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6072,Chinatown,Central Region,15,All / Universal,1,1,59418,SG Breakdown B1
