Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_76249,21325579,"SA_BST_A_TF_76249_Tampines Ave 7_Blk 370, Tampines Ave 7",1.35834,103.9595,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76249_A,SA_BST_76249_A,Tampines East,10,All / Universal,Yes,No,520370,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_76239,21325580,"SA_BST_A_TF_76239_Tampines Ave 7_Blk 390, Tampines Ave 7",1.35649,103.95755,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76239_A,SA_BST_76239_A,Tampines East,10,All / Universal,Yes,No,520390,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_76059,21325581,SA_BST_C_TF_76059_Tampines Ave 5_Opp Our Tampines Hub,1.35298,103.94167,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76059_C,SA_BST_76059_C,Tampines East,10,All / Universal,Yes,No,529482,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_76199,21325582,"SA_BST_A_TF_76199_Tampines Ave 7_Blk 503, Tampines Ave 7",1.3566,103.94535,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76199_A,SA_BST_76199_A,Tampines East,10,All / Universal,Yes,No,520502,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_76109,21325583,"SA_BST_A_TF_76109_Tampines Ave 2_Blk 302, Tampines Ave 2",1.35298,103.95507,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_76109_A,SA_BST_76109_A,Tampines East,10,All / Universal,Yes,No,529341,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_84529,21325584,SA_BST_A_TF_84529_Bedok North Ave 3_Blk 109,1.33215,103.93431,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_84529_A,SA_BST_84529_A,Bedok North,10,All / Universal,Yes,No,460506,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_71099,21325585,"SA_BST_C_TF_71099_Eunos Link_Blk 311, Eunos Link",1.33022,103.90383,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_71099_C,SA_BST_71099_C,Kampong Ubi,10,All / Universal,Yes,No,400312,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_9047,21325586,SA_BST_A_TF_9047_Orchard Rd_Orchard Stn/Tang Plaza,1.30455,103.83284,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9047_A,SA_BST_9047_A,Boulevard,10,All / Universal,Yes,No,238865,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_9047,21325587,SA_BST_B_PF_9047_Orchard Rd_Orchard Stn/Tang Plaza,1.30455,103.83284,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9047_B,SA_BST_9047_B,Boulevard,10,All / Universal,Yes,No,238865,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3011,21325588,SA_BST_A_TF_3011_Fullerton Rd_Fullerton Sq,1.28566,103.85336,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3011_A,SA_BST_3011_A,Clifford Pier,10,All / Universal,Yes,No,49213,Singapore
