Venue Info,Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD406,8405MD406,HKG-T1-MFC-A,22.3087,113.918308,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD407,8405MD407,HKG-T1-MFC-A,22.308098,113.918555,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD408,8405MD408,HKG-T1-MFC-A,22.307518,113.918746,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD301,8406MD301,HKG-T1-MFC-D,22.309413,113.917965,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD302,8406MD302,HKG-T1-MFC-D,22.309091,113.918095,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD303,8406MD303,HKG-T1-MFC-D,22.308584,113.918239,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD304,8406MD304,HKG-T1-MFC-D,22.308503,113.918455,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD305,8406MD305,HKG-T1-MFC-D,22.309088,113.918243,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD306,8406MD306,HKG-T1-MFC-D,22.309338,113.918153,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD307,8406MD307,HKG-T1-MFC-D,22.310546,113.917708,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD308,8406MD308,HKG-T1-MFC-D,22.310754,113.917627,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD309,8406MD309,HKG-T1-MFC-D,22.311173,113.917465,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD310,8406MD310,HKG-T1-MFC-D,22.311547,113.917153,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD311,8406MD311,HKG-T1-MFC-D,22.310896,113.917411,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-D,JCDeaux HKIA,8406MD312,8406MD312,HKG-T1-MFC-D,22.310632,113.917498,1080,1920,1,1080x1920,09:16,,Departure_MFC_L6,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
